timestamp,side,price,amount,notional,fee,slippage,usdt_balance,base_balance,exit_reason,pnl
2026-02-05T22:40:34.766544+00:00,sell,63803.652215,0.0031346167978920296,200.0,0.15,31.91778499999782,1199.85,-0.0031346167978920296,,
2026-02-05T22:40:34.767119+00:00,buy,66476.071425,0.0031346167978920296,208.37701014667536,0.1562827576100065,33.22142499999609,991.3167070957145,0.0,stop_loss,-8.53329290428536
2026-02-05T22:40:47.445602+00:00,sell,63803.652215,0.0031073980020932396,198.2633414191429,0.1486975060643572,31.91778499999782,1189.431351008793,-0.0031073980020932396,,
2026-02-05T22:40:47.446616+00:00,buy,65329.74855,0.0031073980020932396,203.0055301215237,0.15225414759114278,32.64854999999807,986.2735667396781,0.0,trailing_stop,-4.894442849971938
2026-02-05T22:40:59.511153+00:00,sell,63835.68619000001,0.0030900382704562514,197.25471334793565,0.14794103501095174,31.933809999994992,1183.3803390526027,-0.0030900382704562514,,
2026-02-05T22:44:23.350803+00:00,sell,66409.62857500001,0.0030116114830265783,200.0,0.15,33.22142499999609,1199.85,-0.0030116114830265783,,
2026-02-05T22:45:55.042383+00:00,sell,71345.10960000001,0.002102456648268993,150.0,0.1125,35.69039999999222,1149.8875,-0.002102456648268993,,
2026-02-05T22:48:37.954695+00:00,buy,67529.68797,0.002102456648268993,141.97824142805715,0.10648368107104286,33.74796999999671,1007.8027748908719,0.0,take_profit,7.915274890871814
2026-02-05T22:48:37.956314+00:00,sell,67462.19203,0.002240816843994726,151.1704162336308,0.1133778121752231,33.74796999999671,1158.8598133123273,-0.002240816843994726,,
2026-02-05T22:49:44.705251+00:00,buy,63775.301714999994,0.002240816843994726,142.90877031381774,0.10718157773536331,31.871714999993856,1015.8438614207743,0.0,take_profit,8.154464342077688
2026-02-05T22:49:44.705887+00:00,sell,63711.55828500001,0.003188884054213882,203.16877228415487,0.15237657921311615,31.871714999993856,1218.860257125716,-0.003188884054213882,,
2026-02-05T22:50:11.083306+00:00,buy,64082.375174999994,0.003188884054213882,204.351264351709,0.15326344826378177,32.025174999995215,1014.3557293257434,0.0,backtest_end,-1.3357555158179082
